OTU,phylum,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220,ERR2729815,ERR2729816,ERR2729817,ERR2729818,ERR2729819,ERR2729820,ERR2729821,ERR2729822,ERR2729823,ERR2729824,ERR2729825,ERR2729826,ERR2729827,ERR2729828,ERR2729829,ERR2729830,ERR2729831,ERR2729832,ERR2729833,ERR2729834,ERR2729835,ERR2729836,ERR2729837,ERR2729838,ERR2729839,ERR2729840,ERR2729841,ERR2729842,ERR2729843,ERR2729844,ERR2729845,ERR2729846,ERR2729847,ERR2729848,ERR2729849,ERR2729850,ERR2729851,ERR2729852,ERR2729853,ERR2729854,ERR2729855,ERR2729856,ERR2729857,ERR2729858,ERR2729859,ERR2729860,ERR2729861,ERR2729862,ERR2729863,ERR2729864,ERR2729865,ERR2729866,ERR2729867,ERR2729868,ERR2729869,ERR2729870,ERR2729871,ERR2729872,ERR2729873,ERR2729874,ERR2729875,ERR2729876,ERR2729877,ERR2729878,ERR2729879,ERR2729880,ERR2729881,ERR2729882,ERR2729883,ERR2729884,ERR2729885,ERR2729886,ERR2729887,ERR2729888,ERR2729889,ERR2729890,ERR2729891,ERR2729892,ERR2729893,ERR2729894,ERR2729895,ERR2729896,ERR2729897,ERR2729898,ERR2729899,ERR2729900,ERR2729901,ERR2729902,ERR2729903,ERR2729904,ERR2729905,ERR2729906,ERR2729907,ERR2729908,ERR2729909,ERR2729910,ERR2729911,ERR2729912,ERR2729913,ERR2729914,ERR2729915,ERR2729916,ERR2729917,ERR2729918,ERR2729919,ERR2729920,ERR2729921,ERR2729922,ERR2729923,ERR2729924,ERR2729925,ERR2729926,ERR2729927,ERR2729928,ERR2729929,ERR2729930,ERR2729931,ERR2729932,ERR2729933,ERR2729934,ERR2729935,ERR2729936,ERR2729937,ERR2729938,ERR2729939,ERR2729940,ERR2729941,ERR2729942,ERR2729943,ERR2729944,ERR2729945,ERR2729946,ERR2729947,ERR2729948,ERR2729949,ERR2729950,ERR2729951,ERR2729952,ERR2729953,ERR2729954,ERR2729955,ERR2729956,ERR2729957,ERR2729958,ERR2729959,ERR2729960,ERR2729961,ERR2729962,ERR2729963,ERR2729964,ERR2729965,ERR2729966,ERR2729967,ERR2729968,ERR2729969,ERR2729970,ERR2729971,ERR2729972,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995,ERZ764804,ERZ778036,ERZ778037,ERZ778038,ERZ795029,ERZ795030,ERZ795049,ERZ795053,ERZ795056,ERZ795058,ERZ795059,ERZ795060,ERZ795066,ERZ795067,ERZ795076,ERZ795381,ERZ795009,ERZ795010,ERZ781404,ERZ781406,ERZ781405,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1356697,ERR1356701,ERR1356704,ERR1356734,ERR1356738,ERR1356743,ERR1356695,ERR1356699,ERR1356736,ERR1356745,ERR1356748,ERR1356751,ERR1356693,ERR1356710,ERR1356712,ERR1356717,ERR1356753,ERR1356714,ERR1356719,ERR1356720,ERR1356723,ERR1356725,ERR1356728,ERR1356727,ERR1356731,ERR1356733,ERR1356761,ERR1356762,ERR1356703,ERR1356707,ERR1356740,ERR1356754,ERR1356756,ERR1356759,ERR1356708,ERR1356746,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
OTU1,Thaumarchaeota,1,0,0,0,0,0,32,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,Acidobacteria,16,2,2,0,18,13,519,645,689,244,202,163,136,140,157,129,133,116,159,107,197,121,167,149,175,260,229,276,130,255,735,564,579,462,420,429,1039,670,1798,728,1170,618,1263,937,2051,770,1755,808,245,133,252,157,281,171,109,161,89,142,99,189,100,60,116,85,96,101,1008,168,765,66,788,168,1851,419,1718,386,2178,494,4086,760,3002,705,2947,826,1,9,4,12,63,130,58,110,70,105,129,485,208,446,134,341,105,688,186,776,137,639,587,1101,644,965,753,799,1198,1275,1478,1119,1365,1328,2210,1227,3101,2871,2278,1630,70,88,57,67,66,73,144,399,130,344,140,438,169,294,160,228,206,300,1767,443,1433,430,1494,531,4799,737,4273,640,3957,622,7219,1009,5418,1696,5874,1802,0,3,9,9,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,0,5,5,1,3,3,5,5,2,0,5,4,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,2,3,6,3,0,1,4,17,18,63,5020,4813,4359,59,519,60,103,55,125,245,478,1159,191,50,157,152,1558,8,150,92,43,83,71,138,102,275,335,144,141,2079,51,64,144,87,120,93,111,806,142,154,358,61,160,422,384,415,711,884,752,982,260,249,261,152,283,258,263,149,127,133,1252,1147,1291,1464,1266,2525,2179,194,190,316,260,9,31,67,57,53,54,35,87,40,43,6,23,43,66,30,42,36,20,114,26,57,24,569,588,62,71,442,430,148,276,135,37,48,68,3058,121,87,95,112
OTU3,Actinobacteria,45,2,9,4,21,24,2040,2184,2305,325,298,293,2007,388,1828,284,1800,311,1587,788,2382,894,1906,947,3401,651,5775,739,4840,613,5943,2367,5976,2090,5931,2212,4016,944,7360,940,5925,1003,4046,2368,6274,2018,5753,2195,36007,209,34889,224,36632,250,13401,680,12365,701,12628,819,8248,216,10355,318,8187,372,44094,1267,34469,666,35169,1389,35936,620,27331,644,33940,778,29707,1264,22831,1047,21536,1412,0,174,88,279,168,78,152,65,169,53,204,74,268,73,186,77,205,230,306,231,273,240,477,233,535,204,491,175,373,212,439,201,490,194,649,183,707,388,585,190,12596,77,10005,58,11417,78,5685,58,5040,45,5294,53,3975,102,3288,81,3823,99,13979,251,11528,285,12288,288,12815,337,10891,291,10590,289,9703,198,7265,314,7925,350,0,145,192,704,8,0,18,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13,7,7,1,1,14,1,1,3,3,7,19,19,9,0,0,3,2,2,2,2,1,1,2,0,1,1,2,2,8,7,2,10,5,1,3,6,10,8,3,1,127,131,381,40083,34357,32222,291,2915,1304,446,882,347,1125,3061,5044,408,571,395,524,8851,97,296,866,357,386,382,309,881,713,995,849,1124,3297,973,405,1109,625,751,443,541,2684,595,1159,2498,1456,902,2675,1883,1768,2976,3429,3262,2905,1030,1049,970,739,1198,1261,1580,428,445,548,1395,2173,2791,2041,1795,3426,2324,450,530,732,684,2098,2728,1463,1316,2499,3558,1628,2274,1631,1807,2653,3594,2523,2187,3599,2178,3390,2937,2316,1836,178,286,1212,1275,396,425,1097,990,1237,1301,420,905,1126,1562,2302,2402,1063,1788,2476
OTU4,Armatimonadetes,1,0,0,0,1,0,442,494,564,15,11,13,2,5,1,4,6,5,12,6,18,7,12,8,12,8,9,14,4,15,48,13,17,16,29,17,75,41,70,41,55,33,95,14,137,13,105,16,11,1,11,5,6,1,9,2,11,3,6,6,12,1,12,4,12,6,67,4,43,7,52,4,169,12,119,22,179,10,272,11,179,9,181,25,0,0,0,0,1,3,1,0,1,2,2,3,1,7,4,2,7,12,6,9,4,16,13,8,16,10,13,9,39,30,36,16,29,17,51,5,80,15,65,11,4,1,7,2,11,2,5,2,8,2,9,3,9,4,8,0,9,5,37,2,30,2,17,4,96,11,70,9,76,12,144,4,106,8,97,10,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,1,0,4,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,989,983,895,11,50,3,11,9,12,12,36,126,28,9,7,26,172,73,41,26,6,42,8,5,3,59,14,3,7,40,13,6,5,7,20,5,34,34,5,10,33,25,22,47,47,55,83,114,93,90,155,139,147,81,181,115,146,52,52,44,71,47,63,64,65,101,102,197,213,244,271,4,12,22,12,17,11,12,13,10,24,13,13,12,31,26,8,10,10,11,14,0,19,69,92,6,9,37,37,18,108,43,28,20,51,86,20,16,20,13
OTU5,Bacteroidetes,50,0,5,12,10,9,674,726,851,4855,5740,5213,27719,17875,26591,14847,25257,13498,20682,7870,25825,8180,22157,8432,17631,16527,24437,19704,19522,14554,26063,13300,21936,11574,21898,10227,14746,14897,25558,14214,21405,13439,14136,13592,21841,11312,20817,12584,4943,19051,4862,20405,5293,20042,3768,11454,3411,11727,3542,15106,5458,22275,6798,30208,5513,33964,18207,17379,13389,6597,14822,16694,22898,25099,22453,22454,28026,26366,37837,21191,28409,18523,26414,21162,9,153,66,174,10321,10862,8491,8597,9577,7331,11528,7413,17111,6950,11449,5546,9761,20458,14910,21769,11612,21081,10774,13060,12718,11878,12007,9001,11476,12306,13497,10367,11881,11734,12738,8650,15711,18826,11493,10312,3222,8377,2538,7257,2808,8505,1959,7605,1794,5957,1758,7484,3257,32058,2870,25598,3022,33783,6709,17305,5141,18268,5639,19332,12944,17873,10935,15494,10195,15001,16035,9411,12524,14951,12317,16655,32,36,20,285,35,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,24,15,22,27,19,25,29,39,54,21,27,20,18,7,10,5,12,3,4,5,3,5,4,5,6,2,2,8,8,4,8,3,10,7,15,5,17,7,6,23,20,14,8,87,93,262,21047,19935,18597,298,3193,567,1262,1541,1232,1233,3124,6966,1234,1972,1031,911,11720,1835,1257,626,493,1025,513,1096,1082,1112,2874,1885,896,1128,1900,1514,809,417,1389,1345,1349,4369,1445,3046,5988,14306,1223,7263,7635,8946,5596,6256,5625,7917,4794,4219,4648,3658,5277,11950,11958,13044,10663,10777,7287,6765,7111,8240,4193,7315,6733,4035,4052,5613,4876,2871,4692,5618,5592,5227,5856,5671,6828,6137,6662,2776,1980,4836,5527,5235,3506,4511,5050,5789,4892,564,1152,1258,1311,894,1186,1192,1315,1261,13611,10221,11247,10111,19083,7852,13577,12861,15084,13716
OTU6,Balneolaeota,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7,Caldiserica,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,3,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,8,0,0,0,0,0,2,192,0,0,0,0,192,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,6,2,75,3,1,4,4,5,0,6,0,5,4,0,2,1,116,89,88,81,149,30,59,62,45,28,2,0,0,0,1,2,0,76,93,114,116,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,4,1,3,0,1,1,1,3
OTU8,Chlorobi,1,0,0,0,0,0,0,0,0,0,1,0,38,137,42,113,34,105,6,24,8,28,10,24,15,37,8,32,7,32,14,61,6,56,7,36,2,63,5,60,9,50,2,89,8,71,4,84,15,108,12,100,9,82,3,22,1,23,4,32,2,23,0,36,2,41,11,62,2,18,5,39,16,558,22,500,26,536,3,76,4,53,11,66,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,0,1,0,4,0,3,0,3,0,4,9,8,2,8,9,10,4,4,1,5,1,5,1,20,1,20,1,31,4,15,1,9,4,9,6,358,10,297,5,302,6,13,5,33,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,37,2989,2886,2651,21,103,13,25,40,11,178,46,187,24,8,33,29,276,1287,56,11,10,145,5,15,107,116,112,14,35,47,6,39,10,14,33,14,19,98,55,20,152,26,50,157,152,111,267,254,265,312,145,145,145,89,183,119,134,128,139,97,159,203,214,258,144,316,270,323,246,500,359,9,3,14,27,17,34,14,12,57,71,1,8,26,23,15,16,14,17,48,78,0,1,58,86,20,48,44,45,64,137,90,16,28,28,273,46,26,37,40
